,real_time,static
10,"[(7.516666666666667, 3.626), (3.55, 1.548), (10.1, 5.456), (6.85, 2.833), (10.716666666666667, 4.574), (8.816666666666666, 4.122), (12.1, 5.082), (7.166666666666667, 4.409), (9.783333333333333, 4.099), (15.166666666666666, 6.909)]","[(7.516666666666667, 3.626), (3.55, 1.548), (10.1, 5.456), (6.85, 2.833), (10.716666666666667, 4.574), (8.816666666666666, 4.122), (12.1, 5.082), (7.166666666666667, 4.409), (9.783333333333333, 4.099), (15.166666666666666, 6.909)]"
11,"[(3.816666666666667, 1.285), (5.133333333333334, 1.784), (6.55, 2.285), (4.65, 1.355), (5.616666666666666, 1.441), (7.033333333333333, 1.942), (2.05, 0.665), (3.4833333333333334, 1.163), (4.983333333333333, 1.649), (7.066666666666666, 2.428)]","[(3.816666666666667, 1.285), (5.133333333333334, 1.784), (6.55, 2.285), (4.65, 1.355), (5.616666666666666, 1.441), (7.033333333333333, 1.942), (2.05, 0.665), (3.4833333333333334, 1.163), (4.983333333333333, 1.649), (7.066666666666666, 2.428)]"
12,"[(5.116666666666666, 2.339), (2.1666666666666665, 1.067), (7.4, 2.931), (2.966666666666667, 1.287), (3.6166666666666667, 1.493), (2.95, 1.217), (3.033333333333333, 1.255), (7.65, 2.678), (3.1, 1.034), (5.283333333333333, 2.376)]","[(5.116666666666666, 2.339), (2.1666666666666665, 1.067), (8.633333333333333, 2.931), (2.966666666666667, 1.287), (3.6166666666666667, 1.493), (4.316666666666666, 1.217), (3.033333333333333, 1.255), (8.883333333333333, 2.678), (3.1, 1.034), (6.416666666666667, 2.376)]"
13,"[(4.766666666666667, 2.176), (7.816666666666666, 3.309), (7.983333333333333, 3.524), (12.166666666666666, 5.29), (8.816666666666666, 4.105), (4.216666666666667, 1.559), (10.05, 4.352), (8.8, 3.788), (9.25, 3.554), (8.616666666666667, 3.519)]","[(4.766666666666667, 2.176), (7.816666666666666, 3.309), (7.983333333333333, 3.524), (12.166666666666666, 5.29), (8.816666666666666, 4.105), (4.216666666666667, 1.559), (10.033333333333333, 4.352), (8.8, 3.788), (9.25, 3.554), (8.6, 3.519)]"
14,"[(5.95, 1.636), (6.883333333333334, 1.808), (6.85, 2.051), (10.466666666666667, 2.903), (10.283333333333333, 1.992), (4.283333333333333, 1.038), (13.866666666666667, 3.087), (11.183333333333334, 2.895), (3.5, 1.395), (14.0, 4.237)]","[(5.95, 1.636), (6.883333333333334, 1.808), (6.85, 2.051), (10.466666666666667, 2.903), (10.283333333333333, 1.992), (4.283333333333333, 1.038), (13.866666666666667, 3.087), (11.183333333333334, 2.895), (3.5, 1.395), (14.0, 4.237)]"
15,"[(4.383333333333334, 2.123), (5.716666666666667, 3.055), (4.133333333333334, 2.364), (6.65, 3.558), (5.383333333333334, 2.393), (3.8, 1.702), (6.35, 2.896), (1.9833333333333334, 1.029), (5.116666666666666, 2.365), (2.8, 1.366)]","[(4.383333333333334, 2.123), (8.7, 3.055), (7.116666666666666, 2.364), (9.633333333333333, 3.558), (8.05, 2.393), (6.466666666666667, 1.702), (8.983333333333333, 2.896), (1.9833333333333334, 1.029), (5.116666666666666, 2.365), (2.8, 1.366)]"
16,"[(5.766666666666667, 1.339), (4.466666666666667, 1.532), (8.883333333333333, 2.974), (5.883333333333334, 2.202), (8.116666666666667, 1.816), (11.7, 3.084), (8.7, 2.312), (12.5, 3.934), (9.5, 3.162), (5.466666666666667, 1.444)]","[(5.783333333333333, 1.339), (4.483333333333333, 1.532), (8.883333333333333, 2.974), (5.883333333333334, 2.202), (8.15, 1.816), (11.7, 3.084), (8.7, 2.312), (12.483333333333333, 3.934), (9.483333333333333, 3.162), (5.466666666666667, 1.444)]"
17,"[(4.983333333333333, 2.345), (7.066666666666666, 2.686), (11.616666666666667, 4.831), (7.25, 3.222), (9.783333333333333, 3.991), (14.733333333333333, 5.794), (6.2, 3.177), (8.566666666666666, 3.529), (6.216666666666667, 2.627), (9.416666666666666, 4.297)]","[(4.983333333333333, 2.345), (7.066666666666666, 2.686), (11.616666666666667, 4.831), (7.25, 3.222), (9.783333333333333, 3.991), (14.733333333333333, 5.794), (6.2, 3.177), (8.566666666666666, 3.529), (6.216666666666667, 2.627), (9.416666666666666, 4.297)]"
18,"[(4.35, 2.362), (4.766666666666667, 1.884), (2.6333333333333333, 1.436), (8.283333333333333, 3.223), (4.883333333333334, 2.093), (9.5, 3.625), (13.65, 4.813), (7.2, 2.681), (11.133333333333333, 4.987), (7.4, 2.511)]","[(4.35, 2.362), (4.766666666666667, 1.884), (2.6333333333333333, 1.436), (8.283333333333333, 3.223), (4.883333333333334, 2.093), (9.5, 3.625), (13.65, 4.813), (7.2, 2.681), (12.05, 4.987), (7.4, 2.511)]"
19,"[(6.7, 3.597), (5.783333333333333, 1.655), (5.95, 1.975), (7.116666666666666, 2.54), (11.0, 6.088), (8.6, 5.877), (10.466666666666667, 6.886), (10.9, 4.467), (11.933333333333334, 3.823), (6.333333333333333, 2.545)]","[(6.7, 3.597), (5.783333333333333, 1.655), (5.95, 1.975), (7.116666666666666, 2.54), (11.0, 6.088), (8.6, 5.877), (10.466666666666667, 6.886), (10.9, 4.467), (11.933333333333334, 3.823), (6.333333333333333, 2.545)]"
20,"[(9.316666666666666, 4.946), (11.216666666666667, 5.175), (6.783333333333333, 3.583), (10.0, 4.288), (4.95, 2.938), (9.666666666666666, 4.954), (3.7333333333333334, 2.051), (12.566666666666666, 6.522), (8.216666666666667, 4.478), (12.083333333333334, 5.067)]","[(9.316666666666666, 4.946), (11.216666666666667, 5.175), (7.716666666666667, 3.583), (10.0, 4.288), (4.95, 2.938), (9.916666666666666, 4.954), (3.7333333333333334, 2.051), (12.7, 6.522), (8.216666666666667, 4.478), (12.533333333333333, 5.067)]"
21,"[(2.1666666666666665, 2.173), (1.3, 1.216), (3.433333333333333, 3.407), (4.7, 1.516), (1.2166666666666666, 1.129), (1.25, 1.233), (7.016666666666667, 3.9), (2.4, 2.283), (5.666666666666667, 2.491), (8.416666666666666, 5.204)]","[(2.1666666666666665, 2.173), (1.3, 1.216), (3.433333333333333, 3.407), (4.683333333333334, 1.516), (1.2166666666666666, 1.129), (1.25, 1.233), (7.016666666666667, 3.9), (2.4, 2.283), (5.666666666666667, 2.491), (8.416666666666666, 5.204)]"
